,index,Param Pair,Avg Accuracy,Standard Dev,Training Time
0,37,"(1000, 2, 5)",0.7521275354057938,0.004888144923337277,0.004888144923337277
1,38,"(10000, 2, 5)",0.7501255677972232,0.00408005686683307,0.00408005686683307
2,40,"(1000, 2, 7)",0.7500422169519622,0.004441206599699116,0.004441206599699116
3,41,"(10000, 2, 7)",0.749418662974748,0.005349872434907126,0.005349872434907126
4,39,"(100, 2, 7)",0.7486773485481126,0.006534076018687322,0.006534076018687322
5,42,"(100, 2, 9)",0.7485436711587591,0.0018330975145314054,0.0018330975145314054
6,47,"(10000, 2, 11)",0.7483301522926723,0.002310648644693182,0.002310648644693182
7,46,"(1000, 2, 11)",0.7478487955687045,0.002768901486214474,0.002768901486214474
8,43,"(1000, 2, 9)",0.7474623749969569,0.0032361915746938795,0.0032361915746938795
9,48,"(100, 2, 13)",0.7469569778439974,0.0056734259995624235,0.0056734259995624235
10,44,"(10000, 2, 9)",0.7468915924802499,0.004740944130505013,0.004740944130505013
11,45,"(100, 2, 11)",0.7468041831921242,0.0041909522341720545,0.0041909522341720545
12,49,"(1000, 2, 13)",0.7462916351096729,0.0028958741171449414,0.0028958741171449414
13,50,"(10000, 2, 13)",0.7461659218466989,0.0034475774156637706,0.0034475774156637706
14,36,"(100, 2, 5)",0.7454592493902512,0.012101244805361946,0.012101244805361946
15,52,"(1000, 2, 15)",0.7449452966758074,0.004086603115596125,0.004086603115596125
16,55,"(1000, 2, 17)",0.7446876407708112,0.004082177300290489,0.004082177300290489
17,54,"(100, 2, 17)",0.7446035991902378,0.004560448677473631,0.004560448677473631
18,53,"(10000, 2, 15)",0.7441951879455229,0.003386594749587268,0.003386594749587268
19,51,"(100, 2, 15)",0.7438655307036308,0.004778920576486214,0.004778920576486214
20,15,"(100, 1, 11)",0.7396992223991516,0.00282527410998961,0.00282527410998961
21,22,"(1000, 1, 15)",0.7396271482292258,0.0029084522342253554,0.0029084522342253554
22,20,"(10000, 1, 13)",0.7394421683738146,0.000820510733050301,0.000820510733050301
23,14,"(10000, 1, 9)",0.739357611100478,0.00207534924453865,0.00207534924453865
24,23,"(10000, 1, 15)",0.7393567749771665,0.002265084008083961,0.002265084008083961
25,16,"(1000, 1, 11)",0.7381069167352166,0.0006970187171176287,0.0006970187171176287
26,10,"(1000, 1, 7)",0.7379894269715652,0.004281247496332409,0.004281247496332409
27,19,"(1000, 1, 13)",0.7377348666423298,0.0017195494275758154,0.0017195494275758154
28,17,"(10000, 1, 11)",0.7377119467050074,0.0008657888481560922,0.0008657888481560922
29,18,"(100, 1, 13)",0.7376454278172206,0.0027973974621406748,0.0027973974621406748
30,11,"(10000, 1, 7)",0.7375921025344452,0.007095686060419174,0.007095686060419174
31,13,"(1000, 1, 9)",0.7375267141367775,0.002705137753951291,0.002705137753951291
32,21,"(100, 1, 15)",0.7363286517327389,0.003991883358327066,0.003991883358327066
33,25,"(1000, 1, 17)",0.736006587344857,0.010948110712939992,0.010948110712939992
34,12,"(100, 1, 9)",0.7357304464802985,0.007220019545313268,0.007220019545313268
35,26,"(10000, 1, 17)",0.7350849835715657,0.010486488847038114,0.010486488847038114
36,8,"(10000, 1, 5)",0.733748166585586,0.011215081116453652,0.011215081116453652
37,9,"(100, 1, 7)",0.7332610642118154,0.006171150555801773,0.006171150555801773
38,34,"(1000, 2, 3)",0.7330216100724205,0.03896303155994728,0.03896303155994728
39,27,"(100, 1, 20)",0.731985945251747,0.01100593857496234,0.01100593857496234
40,6,"(100, 1, 5)",0.7316980532854609,0.009417332753737557,0.009417332753737557
41,24,"(100, 1, 17)",0.7313347165841828,0.010768673862783651,0.010768673862783651
42,35,"(10000, 2, 3)",0.7308615407447118,0.0361735729408296,0.0361735729408296
43,7,"(1000, 1, 5)",0.7302429780168056,0.012350021870394167,0.012350021870394167
44,33,"(100, 2, 3)",0.7256048154221976,0.028870408588998947,0.028870408588998947
45,28,"(1000, 1, 20)",0.7200835158823282,0.004103879970861605,0.004103879970861605
46,29,"(10000, 1, 20)",0.7200517305960591,0.004100710744232421,0.004100710744232421
47,4,"(1000, 1, 3)",0.717523418087993,0.033906850147324606,0.033906850147324606
48,5,"(10000, 1, 3)",0.7131181919702734,0.034940273450921835,0.034940273450921835
49,32,"(10000, 2, 1)",0.6958711842649056,0.04829547838227141,0.04829547838227141
50,31,"(1000, 2, 1)",0.6898458490856385,0.055911198979932346,0.055911198979932346
51,30,"(100, 2, 1)",0.6877989861115675,0.05406853597294968,0.05406853597294968
52,3,"(100, 1, 3)",0.686015813899802,0.05356088849724587,0.05356088849724587
53,2,"(10000, 1, 1)",0.6761638684794036,0.05303441463035758,0.05303441463035758
54,1,"(1000, 1, 1)",0.6743240362570943,0.039482991299284446,0.039482991299284446
55,0,"(100, 1, 1)",0.6326819973222928,0.03326809141437721,0.03326809141437721
